"text","emotion"
"Bu dileğim samimîdir, yardım elinizi uzatınız.","istek"
"Esirgemediğiniz himmete dolayı gönülden şükrederim.","minnettarlik"
"Bugün yüzüm gülmedi; vaktim elem ile geçti.","uzuntu"
"Size karşı teşekkür borçluyum, hatırınız bende daim oldu.","minnettarlik"
"Ümidim odur ki gönlümüz ferah bulacak; gözüm ufka çevrilidir.","umut"
"Lütufkâr efendim bihakkın ihtiram göstererek dile getiririm; nazar-ı dikkatinize minnettarım.","saygi"
"Mürüvvet buyurup bu hususta izin veriniz.","istek"
"Mürüvvet buyurup meseleyi tekrar nazardan geçiriniz.","istek"
"Anlamak arzusuyla sorarım, bu işteki hikmet hakkında bir izah var mıdır?","merak"
"İzzetlü efendim nihâyet ihtiram ile takdim ederim; hükmünüze râm olurum.","saygi"
"İnşallah bu karanlık dağılacak; iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Ettiğiniz ihsana karşı teşekkür borçluyum, yüküm hafifledi.","minnettarlik"
"Keremkâr hazretleri tevkir duygusuyla beyan eylerim.","saygi"
"Yaptığınız kalbi incitti; bu nankörlüğe tahammül edemem.","kizginlik"
"Bu işe hemen girişmek doğru olmayabilir; gönlüm tam mutmain değildir.","cekince"
"Şerefli efendim tevkir duygusuyla beyan eylerim; buyruğunuz benim için makbuldür.","saygi"
"Yakında dertler hafifleyecek; içimde bir ışık yanar.","umut"
"Ne yazık ki, çünkü dilimden neşe eksildi.","uzuntu"
"İnşallah gönlümüz ferah bulacak.","umut"
"Yüreğim incindi; ümidim zayıf düştü.","uzuntu"
"Ümit ederim dertler hafifleyecek.","umut"
"İnşallah bu karanlık dağılacak.","umut"
"İnşallah dertler hafifleyecek.","umut"
"Bu zulme sabır gösteremem.","kizginlik"
"İstirham ederim mektubumu kabul buyurunuz.","istek"
"İdrak etmek isterim bu işteki hikmet ne için böyledir?","merak"
"Gönlüm pek mahzundur, çünkü dilimden neşe eksildi.","uzuntu"
"İstirham ederim hâlimi dinleyiniz.","istek"
"Bunun hesabı sorulmalıdır; bu söze içim kaynar.","kizginlik"
"Biraz ihtiyatla söylerim ki görünen kadar kolay değildir.","cekince"
"Allah'ın izniyle muradımız gerçekleşecek.","umut"
"Bugün yüzüm gülmedi, çünkü dilimden neşe eksildi.","uzuntu"
"Keremkâr hazretleri tevkir duygusuyla beyan eylerim; sözünüz başım üstündedir.","saygi"
"Bilmeyi isterim ki bu işteki hikmet nicedir?","merak"
"Vicdan buna susmaz; bu zulme rızâ göstermem.","kizginlik"
"Hayretle sorarım; mektubun niçin cevapsız kaldığı neye bağlanır?","merak"
"Bu kırıcı tavra içim kaynar.","kizginlik"
"Bu taşkınlığa içim kaynar.","kizginlik"
"Zihnimi meşgul eden sual şudur, mezkur sözün manası hakkında bir izah var mıdır?","merak"
"İdrak etmek isterim, vukû bulan işin aslı hakkında bir izah var mıdır?","merak"
"Gönlüm der ki kapılar açılacak.","umut"
"Bu kabalığa gönlüm isyan eder; bu muamele kabul olunmaz.","kizginlik"
"Bahşettiğiniz vakte dolayı teşekkür borçluyum.","minnettarlik"
"Bu hâlin sebebi hususunda malûmat verir misiniz?","merak"
"Ümidim odur ki beklenen haber gelecek; içimde bir ışık yanar.","umut"
"Gam beni sardı; günüm kederle soldu.","uzuntu"
"Bahtım suskun kaldı, çünkü ümidim zayıf düştü.","uzuntu"
"Güzel bir sabah gibi beklenen haber gelecek; tesellim bu yöndedir.","umut"
"İçim dardır; ümidim zayıf düştü.","uzuntu"
"Dilerim ki bu hususta izin veriniz; talebim budur.","istek"
"Bu karanlık dağılacak, içimden böyle geçer.","umut"
"Merak ederim ki işbu rivayetin doğruluğu hangi sebepten doğmuştur?","merak"
"Güzel bir sabah gibi işler düzelecek; içimde bir ışık yanar.","umut"
"Vukû bulan işin aslı hususunda malûmat verir misiniz?","merak"
"Gönlümde bir sual dolaşır bu yolun nereye varacağı hangi cihete varır?","merak"
"Bu nankörlüğe buna razı olmam.","kizginlik"
"Bu yersiz davranışa hiddet beslerim.","kizginlik"
"Kerem buyurup hâlimi dinleyiniz.","istek"
"Bununla beraber her işaret güven vermiyor; bu sebeple temkinli davranırım.","cekince"
"Sözüm odur ki her işaret güven vermiyor; tedbir elden bırakılmamalıdır.","cekince"
"Temennim budur ki hâlimi dinleyiniz.","istek"
"Şerefli efendim kemâl-i hürmetle beyan eylerim; hükmünüze râm olurum.","saygi"
"Şöyle bir sual var ki bu işteki hikmet hangi sebepten doğmuştur?","merak"
"Müteber efendim arz ederim; buyruğunuz benim için makbuldür.","saygi"
"Umarım dertler hafifleyecek; ruhum böyle fısıldar.","umut"
"Merak ederim ki, kapının neden kapalı kaldığı hakkında bir izah var mıdır?","merak"
"Rica eylerim biraz mühlet tanıyınız; gönlüm bu yönde muraddar olmuştur.","istek"
"Verdiğiniz desteğe karşı bu lütfu daima yâd ederim, hatırınız bende daim oldu.","minnettarlik"
"Bugün yüzüm gülmedi, çünkü sevindirici haber gelmedi.","uzuntu"
"İçimde bir çekince doğdu karar vermeden evvel düşünmek gerekir.","cekince"
"Zât-ı âlinize minnettarım; duam sizden yana oldu.","minnettarlik"
"Açık söylemek gerekirse acele etmek münasip görünmez; bir kere daha düşünmek yerinde olur.","cekince"
"Merak ederim ki bu işteki hikmet hangi sebepten doğmuştur?","merak"
"Verdiğiniz desteğe dolayı gönülden şükrederim.","minnettarlik"
"Meclisteki sessizliğin hikmeti hakkında ne buyurulur?","merak"
"Devletlü efendim yâd ederim; hükmünüze râm olurum.","saygi"
"Hayretle sorarım, bu gecikmenin sebebi nasıl anlaşılır?","merak"
"Bilmeyi isterim ki yarınki ahvâl neye delâlet eder?","merak"
"Bununla beraber söylenenler tam yerini bulmayabilir; hemen hükme varmak istemem.","cekince"
"Zât-ı âlinize yâd ederim; nazar-ı dikkatinize minnettarım.","saygi"
"Lütufkâr efendim tevkir duygusuyla huzurunuza koyarım.","saygi"
"Kalbim keder içindedir; günüm kederle soldu.","uzuntu"
"Dertlerim arttı; hâlimi anlatmak müşkül oldu.","uzuntu"
"Bu edepsizliğe öfkelenirim; adalet duygusu zedelendi.","kizginlik"
"Bu nankörlüğe tahammül edemem.","kizginlik"
"Lütufkâr efendim arz ederim; nazar-ı dikkatinize minnettarım.","saygi"
"Hayretle sorarım; şu kararın dayanağı neye bağlanır?","merak"
"Sözünüz yara açtı; bu taşkınlığa şiddetle karşı çıkarım.","kizginlik"
"Bahtım suskun kaldı, çünkü beklediğim kişi görünmedi.","uzuntu"
"Bu kabalığa pek gazap duyarım; bunun hesabı sorulmalıdır.","kizginlik"
"Gösterdiğiniz lütfa gönülden şükrederim; yüküm hafifledi.","minnettarlik"
"Lütufkâr efendim sonsuz tâzimle zikrederim.","saygi"
"Bu karanlık dağılacak, buna inanırım.","umut"
"Bu yersiz davranışa içim kaynar; bu kadarı artık fazladır.","kizginlik"
"Zihnimi meşgul eden sual şudur, işbu rivayetin doğruluğu hakkında bir izah var mıdır?","merak"
"Temennim budur ki meseleyi tekrar nazardan geçiriniz.","istek"
"Yarın daha aydınlık olacak, bu düşünce beni diri tutar.","umut"
"Açık söylemek gerekirse bu yolda bazı mahzurlar vardır.","cekince"
"Sormak isterim vaktin niçin geciktiği nasıldır?","merak"
"Bahtım suskun kaldı, çünkü ayrılık ateşi içimi yaktı.","uzuntu"
"Bu nankörlüğe gönlüm isyan eder.","kizginlik"
"İnâyet ederseniz bir cevap veriniz; hâcetim buna yönelmiştir.","istek"
"Kalbim keder içindedir; ayrılık ateşi içimi yaktı.","uzuntu"
"Zât-ı âlinize hâlisâne hürmetle bildiririm.","saygi"
"Açık söylemek gerekirse vaktin henüz olgunlaşmadığını sanırım.","cekince"
"Merak ederim ki o kimsenin maksadı nasıl izah olunur?","merak"
"Olur ki talih yüz gösterecek; bekleyişim boşa çıkmaz sanırım.","umut"
"Muradım hâsıl olmadı; teselli bulamadım.","uzuntu"
"İzzetlü efendim ifade kılarım; hükmünüze râm olurum.","saygi"
"Açık söylemek gerekirse görünen kadar kolay değildir; ayakları sıkı basmak gerekir.","cekince"
"Dilerim ki bu işi geciktirmeyiniz.","istek"
"Umarım beklenen haber gelecek.","umut"
"Kadr ü kıymeti yüce efendim bihakkın ihtiram göstererek sunarım.","saygi"
"Şerefli efendim nihâyet ihtiram ile yâd ederim.","saygi"
"Bu nankörlüğe içim kaynar.","kizginlik"
"Beklenen haber gelecek, bu düşünce beni diri tutar.","umut"
"Rica eylerim meseleyi tekrar nazardan geçiriniz; hâcetim buna yönelmiştir.","istek"
"Dilerim ki yardım elinizi uzatınız.","istek"
"Gönlüm der ki muradımız gerçekleşecek; tesellim bu yöndedir.","umut"
"Sormak isterim, bu hâlin sebebi hakkında bir izah var mıdır?","merak"
"Huzur-ı âlinize tam bir tâzim ile sunarım; yol gösterişinizi pek kıymetli bilirim.","saygi"
"Talihim karardı; beklediğim kişi görünmedi.","uzuntu"
"Sormak isterim, kapının neden kapalı kaldığı hakkında bir izah var mıdır?","merak"
"Lâkin karar vermeden evvel düşünmek gerekir; ayakları sıkı basmak gerekir.","cekince"
"Kerem buyurup yardım elinizi uzatınız.","istek"
"Bu nankörlüğe sabır gösteremem; artık bıkkınlık verdi.","kizginlik"
"Doğrusu görünen kadar kolay değildir; ayakları sıkı basmak gerekir.","cekince"
"Ne yazık ki; beklediğim kişi görünmedi.","uzuntu"
"Bahtım suskun kaldı; dilimden neşe eksildi.","uzuntu"
"Şerefli efendim ifade kılarım; yol gösterişinizi pek kıymetli bilirim.","saygi"
"Bilmeyi isterim ki, yarınki ahvâl hakkında bir izah var mıdır?","merak"
"Hayretle sorarım; o kelâmın kastı neye bağlanır?","merak"
"Vicdan buna susmaz; bu kırıcı tavra içim kaynar.","kizginlik"
"Gönlümüz ferah bulacak, bekleyişim boşa çıkmaz sanırım.","umut"
"Bu yersiz davranışa pek gazap duyarım.","kizginlik"
"Muhterem efendim nihâyet ihtiram ile bildiririm.","saygi"
"Dilerim ki biraz mühlet tanıyınız; bunu büyük bir arzu ile talep ederim.","istek"
"Hayretle sorarım: bu gecikmenin sebebi nedendir?","merak"
"Ümidim odur ki gönlümüz ferah bulacak.","umut"
"Mürüvvet buyurup biraz mühlet tanıyınız; bendenizi mahrum bırakmayınız.","istek"
"Bu haksızlığa hiddet beslerim.","kizginlik"
"Sözüm odur ki vaktin henüz olgunlaşmadığını sanırım.","cekince"
"Doğrusu bu yolda bazı mahzurlar vardır; bu sebeple temkinli davranırım.","cekince"
"Acaba, o kimsenin maksadı hakkında bir izah var mıdır?","merak"
"Ne yazık ki; dertlerim arttı.","uzuntu"
"İnâyetinize dolayı teşekkür borçluyum.","minnettarlik"
"Lâkin bu yolda bazı mahzurlar vardır; hemen hükme varmak istemem.","cekince"
"Arzım odur ki biraz mühlet tanıyınız; bu niyazımı geri çevirmeyiniz.","istek"
"Biraz ihtiyatla söylerim ki görünen kadar kolay değildir; kesin söz söylemekte zorlanırım.","cekince"
"Devletlü efendim tevkir duygusuyla ifade kılarım; himmetinizi daima aziz tutarım.","saygi"
"İçim dardır; vaktim elem ile geçti.","uzuntu"
"İzzetlü efendim nihâyet ihtiram ile dile getiririm.","saygi"
"Mümkün ise haber ulaştırınız; rica olunur.","istek"
"Sözünüz yara açtı; bu kabalığa pek gazap duyarım.","kizginlik"
"Olur ki yarın daha aydınlık olacak.","umut"
"Bu zulme pek gazap duyarım; hududu aşıyorsunuz.","kizginlik"
"Dertlerim arttı; gönlüm ferahlanmadı.","uzuntu"
"Yaptığınız iyiliğe karşı hâlisâne teşekkür ederim, yardımınız bana kuvvet verdi.","minnettarlik"
"Bu taşkınlığa pek gazap duyarım; yaptığınız kalbi incitti.","kizginlik"
"Rica olunur, kapıyı açtırınız.","istek"
"Zât-ı âlinize kemâl-i hürmetle takdim ederim; işaretiniz benim için emirdir.","saygi"
"Gam beni sardı, çünkü ayrılık ateşi içimi yaktı.","uzuntu"
"Nihâyet arzum budur, bu işi geciktirmeyiniz.","istek"
"Allah'ın izniyle dertler hafifleyecek; buna inanırım.","umut"
"Zât-ı âlinize karşı bu lütfu daima yâd ederim, bu inceliği pek aziz bildim.","minnettarlik"
"Kerem buyurup haber ulaştırınız; hâcetim buna yönelmiştir.","istek"
"Keremkâr hazretleri nihâyet ihtiram ile bildiririm.","saygi"
"Verdiğiniz desteğe karşı hâlisâne teşekkür ederim, dertli hâlim teskin oldu.","minnettarlik"
"Şerefli efendim bildiririm; işaretiniz benim için emirdir.","saygi"
"Yakında dertler hafifleyecek.","umut"
"İçim dardır; sevindirici haber gelmedi.","uzuntu"
"İnşallah yarın daha aydınlık olacak.","umut"
"Yaptığınız iyiliğe şükrümü arz ederim; duam sizden yana oldu.","minnettarlik"
"Size dolayı iyiliğinizi unutamam.","minnettarlik"
"Bu rivayetin nereden doğduğu hakkında ne buyurulur?","merak"
"Yaptığınız kalbi incitti; bu haksızlığa öfkelenirim.","kizginlik"
"Hayretle sorarım, mektubun niçin cevapsız kaldığı nasıl anlaşılır?","merak"
"Bahşettiğiniz vakte dolayı iyiliğinizi unutamam.","minnettarlik"
"Bu kabalığa buna razı olmam; sözünüz yara açtı.","kizginlik"
"Kalbim keder içindedir; sevindirici haber gelmedi.","uzuntu"
"Lütfedip kapıyı açtırınız.","istek"
"Mürüvvet buyurup bu hususta izin veriniz; bu dileğim samimîdir.","istek"
"Lâkin bu yolda bazı mahzurlar vardır.","cekince"
"İzzetlü efendim tevkir duygusuyla takdim ederim; feyzinize sığınırım.","saygi"
"Gönlümde bir sual dolaşır, işbu rivayetin doğruluğu hakkında bir izah var mıdır?","merak"
"Işin görünmeyen tarafı ağır basabilir; tedbir elden bırakılmamalıdır.","cekince"
"Kadr ü kıymeti yüce efendim nihâyet ihtiram ile takdim ederim.","saygi"
"Bu kadarı artık fazladır; bu haksızlığa buna razı olmam.","kizginlik"
"Sözüm odur ki acele etmek münasip görünmez.","cekince"
"Dertler hafifleyecek, içimde bir ışık yanar.","umut"
"Devletlü efendim hâlisâne hürmetle beyan eylerim; nazar-ı dikkatinize minnettarım.","saygi"
"Arzım odur ki biraz mühlet tanıyınız.","istek"
"Bu kırıcı tavra hiddet beslerim; hududu aşıyorsunuz.","kizginlik"
"Gönlümce olan budur, bir cevap veriniz.","istek"
"İçim dardır, çünkü ümidim zayıf düştü.","uzuntu"
"Gönlüm pek mahzundur, çünkü vaktim elem ile geçti.","uzuntu"
"Bugün yüzüm gülmedi; sevindirici haber gelmedi.","uzuntu"
"Arzım odur ki bir cevap veriniz.","istek"
"Gönlümüz ferah bulacak, tesellim bu yöndedir.","umut"
"Artık bıkkınlık verdi; bu kırıcı tavra gönlüm isyan eder.","kizginlik"
"Cömert nazarınıza karşı bu lütfu daima yâd ederim, kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Mürüvvet buyurup haber ulaştırınız; nihâyet arzum budur.","istek"
"Acele etmek münasip görünmez; içimdeki tereddüt sürer.","cekince"
"Yaptığınız kalbi incitti; bu söze gönlüm isyan eder.","kizginlik"
"Rica olunur, meseleyi tekrar nazardan geçiriniz.","istek"
"Anlamak arzusuyla sorarım, vukû bulan işin aslı hakkında bir izah var mıdır?","merak"
"Sormak isterim, yarınki ahvâl hakkında bir izah var mıdır?","merak"
"Arzım odur ki meseleyi tekrar nazardan geçiriniz; bunu büyük bir arzu ile talep ederim.","istek"
"Bunun hesabı sorulmalıdır; bu nankörlüğe buna razı olmam.","kizginlik"
"Arzım odur ki kapıyı açtırınız; gönlümce olan budur.","istek"
"Bendenizi mahrum bırakmayınız, haber ulaştırınız.","istek"
"Temennim budur ki bir cevap veriniz; bu niyazımı geri çevirmeyiniz.","istek"
"İstirham ederim biraz mühlet tanıyınız.","istek"
"Talihim karardı, çünkü vaktim elem ile geçti.","uzuntu"
"Olur ki kapılar açılacak.","umut"
"Bu kabalığa tahammül edemem.","kizginlik"
"Bu işe hemen girişmek doğru olmayabilir; ihtiyat daha evlâdır.","cekince"
"Yaptığınız iyiliğe şükran duyarım; yardımınız bana kuvvet verdi.","minnettarlik"
"Bu kabalığa sabır gösteremem; yaptığınız kalbi incitti.","kizginlik"
"Şerefli efendim samimî bir ihtiramla zikrederim; nazar-ı dikkatinize minnettarım.","saygi"
"Zât-ı âlinize karşı iyiliğinizi unutamam, duam sizden yana oldu.","minnettarlik"
"İnâyet ederseniz mektubumu kabul buyurunuz.","istek"
"Gönlüm bu yönde muraddar olmuştur, yardım elinizi uzatınız.","istek"
"İnâyetinize dolayı kalben müteşekkirim.","minnettarlik"
"Açık söylemek gerekirse karar vermeden evvel düşünmek gerekir; bu yüzden duraksarım.","cekince"
"Şunu öğrenmek muradıyla sorarım, o kimsenin maksadı hakkında bir izah var mıdır?","merak"
"Muhterem efendim huzurunuza koyarım; sözünüz başım üstündedir.","saygi"
"İnâyet ederseniz hâlimi dinleyiniz.","istek"
"Bu söze pek gazap duyarım.","kizginlik"
"Gam beni sardı, çünkü muradım hâsıl olmadı.","uzuntu"
"Devletlü efendim zikrederim; nüktelerinizden istifade ederim.","saygi"
"Gam beni sardı; vaktim elem ile geçti.","uzuntu"
"Maalesef, çünkü işim arzu ettiğim gibi gitmedi.","uzuntu"
"Ettiğiniz ihsana dolayı bu lütfu daima yâd ederim.","minnettarlik"
"Kadr ü kıymeti yüce efendim nihâyet ihtiram ile sunarım; nüktelerinizden istifade ederim.","saygi"
"Gam beni sardı, çünkü sevindirici haber gelmedi.","uzuntu"
"Kerem buyurup kapıyı açtırınız.","istek"
"Gönlüm pek mahzundur; ayrılık ateşi içimi yaktı.","uzuntu"
"Kanaatimce gönlümüz ferah bulacak; bekleyişim boşa çıkmaz sanırım.","umut"
"Talihim karardı; dertlerim arttı.","uzuntu"
"Temennim budur ki mektubumu kabul buyurunuz; bu dileğim samimîdir.","istek"
"Ne yazık ki, çünkü muradım hâsıl olmadı.","uzuntu"
"Zihnimi meşgul eden sual şudur o kimsenin maksadı hangi sebepten doğmuştur?","merak"
"İnâyetinize dolayı iyiliğinizi unutamam.","minnettarlik"
"Merak ederim ki, o kimsenin maksadı hakkında bir izah var mıdır?","merak"
"Mümkün ise bu işi geciktirmeyiniz.","istek"
"Talihim karardı, çünkü ayrılık ateşi içimi yaktı.","uzuntu"
"Sormak isterim işbu rivayetin doğruluğu nicedir?","merak"
"İzzetlü efendim derin bir saygı ile sunarım.","saygi"
"Bu muamele kabul olunmaz; bu zulme buna razı olmam.","kizginlik"
"İnâyetinize borcumu kelâm ile ödeyemem; gönlüm ferah buldu.","minnettarlik"
"Allah'ın izniyle yarın daha aydınlık olacak.","umut"
"Maalesef, çünkü ayrılık ateşi içimi yaktı.","uzuntu"
"Bahşettiğiniz vakte dolayı şükran duyarım.","minnettarlik"
"İdrak etmek isterim, bu yolun nereye varacağı hakkında bir izah var mıdır?","merak"
"İnâyetinize karşı şükran duyarım, adıma büyük bir iyilik doğdu.","minnettarlik"
"Müteber efendim ifade kılarım; buyruğunuz benim için makbuldür.","saygi"
"Zât-ı âlinize dolayı hâlisâne teşekkür ederim.","minnettarlik"
"Kapının neden kapalı kaldığı hususunda malûmat verir misiniz?","merak"
"Adalet duygusu zedelendi; bu edepsizliğe tahammül edemem.","kizginlik"
"Söylenenler tam yerini bulmayabilir; hemen hükme varmak istemem.","cekince"
"Açık söylemek gerekirse sonu umulan gibi çıkmayabilir.","cekince"
"Yaptığınız iyiliğe dolayı gönülden şükrederim.","minnettarlik"
"Lâkin karar vermeden evvel düşünmek gerekir.","cekince"
"Muradımız gerçekleşecek, kalbim buna meyleder.","umut"
"Rica eylerim haber ulaştırınız; gönlüm bu yönde muraddar olmuştur.","istek"
"Sözüm odur ki söylenenler tam yerini bulmayabilir; bir kere daha düşünmek yerinde olur.","cekince"
"Şüphem odur ki her işaret güven vermiyor.","cekince"
"Bu haksızlığa içim kaynar.","kizginlik"
"Artık bıkkınlık verdi; bu zulme öfkelenirim.","kizginlik"
"Bu taşkınlığa tahammül edemem; bu kadarı artık fazladır.","kizginlik"
"Esirgemediğiniz himmete karşı teşekkür borçluyum, adıma büyük bir iyilik doğdu.","minnettarlik"
"Sabrın semeresi görünecek, bu düşünce beni diri tutar.","umut"
"Zât-ı âlinize bihakkın ihtiram göstererek takdim ederim.","saygi"
"Bununla beraber acele etmek münasip görünmez.","cekince"
"İçim dardır, çünkü işim arzu ettiğim gibi gitmedi.","uzuntu"
"Doğrusu karar vermeden evvel düşünmek gerekir; ihtiyat daha evlâdır.","cekince"
"Acaba, bu yolun nereye varacağı hakkında bir izah var mıdır?","merak"
"Gösterdiğiniz lütfa karşı hâlisâne teşekkür ederim, kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Bahtım suskun kaldı; ümidim zayıf düştü.","uzuntu"
"Açık söylemek gerekirse bu işe hemen girişmek doğru olmayabilir; bir kere daha düşünmek yerinde olur.","cekince"
"İçim dardır; muradım hâsıl olmadı.","uzuntu"
"Şüphem odur ki işin görünmeyen tarafı ağır basabilir.","cekince"
"Zât-ı âlinize dolayı şükran duyarım.","minnettarlik"
"Gam beni sardı; sevindirici haber gelmedi.","uzuntu"
"İzzetlü efendim kemâl-i hürmetle zikrederim.","saygi"
"Ne yazık ki; vaktim elem ile geçti.","uzuntu"
"İnâyetinize karşı bu lütfu daima yâd ederim, gönlüm ferah buldu.","minnettarlik"
"Bu hâle sabır gösteremem; vicdan buna susmaz.","kizginlik"
"İzzetlü efendim hâlisâne hürmetle arz ederim.","saygi"
"Şüphem odur ki söylenenler tam yerini bulmayabilir.","cekince"
"Bu zulme içim kaynar; adalet duygusu zedelendi.","kizginlik"
"Bunun hesabı sorulmalıdır; bu hâle tahammül edemem.","kizginlik"
"Yakında kapılar açılacak; iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Şunu öğrenmek muradıyla sorarım vukû bulan işin aslı ne suretle anlaşılır?","merak"
"Gönlüm pek mahzundur; vaktim elem ile geçti.","uzuntu"
"Muradımız gerçekleşecek, iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Acaba, bu hâlin sebebi hakkında bir izah var mıdır?","merak"
"Kanaatimce kapılar açılacak; içimden böyle geçer.","umut"
"Hayretle sorarım; yolun niçin uzadığı neye bağlanır?","merak"
"İdrak etmek isterim, yarınki ahvâl hakkında bir izah var mıdır?","merak"
"Esirgemediğiniz himmete dolayı şükrümü arz ederim.","minnettarlik"
"Size hâlisâne teşekkür ederim; müşkülüm çözüldü.","minnettarlik"
"Mektubun niçin cevapsız kaldığı niçin böyle olmuştur?","merak"
"Ümit ederim muradımız gerçekleşecek.","umut"
"Anlamak arzusuyla sorarım bu işteki hikmet neye delâlet eder?","merak"
"Dilerim ki meseleyi tekrar nazardan geçiriniz.","istek"
"Kerem buyurup biraz mühlet tanıyınız.","istek"
"Mümkün ise yardım elinizi uzatınız; gönlüm bu yönde muraddar olmuştur.","istek"
"Şerefli efendim büyük bir edeple zikrederim; nazar-ı dikkatinize minnettarım.","saygi"
"Bahşettiğiniz vakte karşı gönülden şükrederim, bu inceliği pek aziz bildim.","minnettarlik"
"Bilmeyi isterim ki bu hâlin sebebi nasıldır?","merak"
"Kadr ü kıymeti yüce efendim sonsuz tâzimle ifade kılarım.","saygi"
"Muhterem efendim zikrederim; feyzinize sığınırım.","saygi"
